"directory","species","count","min","median","max"
1,"acantharia_protist",889,590,1474,21394
2,"acantharia_protist_big_center",13,1286,3647,6286
3,"acantharia_protist_halo",71,891,1773,3084
4,"amphipods",49,719,1810,5456
5,"appendicularian_fritillaridae",16,772,961.5,1582
6,"appendicularian_s_shape",696,699,1030,5592
7,"appendicularian_slight_curve",532,632,1054,8310
8,"appendicularian_straight",242,671,1151,10338
9,"artifacts",393,591,1186,4485
10,"artifacts_edge",170,884,3370.5,14558
11,"chaetognath_non_sagitta",815,1062,3497,11009
12,"chaetognath_other",1934,637,1895,12901
13,"chaetognath_sagitta",694,952,2924,12266
14,"chordate_type1",77,1302,1825,2732
15,"copepod_calanoid",681,646,1054,4037
16,"copepod_calanoid_eggs",173,672,927,4910
17,"copepod_calanoid_eucalanus",96,898,2585.5,7482
18,"copepod_calanoid_flatheads",178,630,1051.5,2422
19,"copepod_calanoid_frillyAntennae",63,772,1422,3522
20,"copepod_calanoid_large",286,787,1648,5973
21,"copepod_calanoid_large_side_antennatucked",106,712,1169.5,2408
22,"copepod_calanoid_octomoms",49,806,1211,1981
23,"copepod_calanoid_small_longantennae",87,765,1124,1718
24,"copepod_cyclopoid_copilia",30,1245,3152.5,4559
25,"copepod_cyclopoid_oithona",899,593,851,2707
26,"copepod_cyclopoid_oithona_eggs",1189,622,924,2991
27,"copepod_other",24,722,1311,5689
28,"crustacean_other",201,685,1217,9906
29,"ctenophore_cestid",113,1860,12159,44770
30,"ctenophore_cydippid_no_tentacles",42,782,1433,2205
31,"ctenophore_cydippid_tentacles",53,1150,2164,7643
32,"ctenophore_lobate",38,1893,18220.5,55780
33,"decapods",55,1044,1952,4717
34,"detritus_blob",363,677,1033,3914
35,"detritus_filamentous",394,634,1179.5,7887
36,"detritus_other",914,585,988,6341
37,"diatom_chain_string",519,467,684,13629
38,"diatom_chain_tube",500,565,1052.5,5208
39,"echinoderm_larva_pluteus_brittlestar",36,828,2955.5,7662
40,"echinoderm_larva_pluteus_early",92,583,936,4483
41,"echinoderm_larva_pluteus_typeC",80,674,2164.5,6191
42,"echinoderm_larva_pluteus_urchin",88,716,1023,3264
43,"echinoderm_larva_seastar_bipinnaria",385,749,1068,5742
44,"echinoderm_larva_seastar_brachiolaria",536,1070,2039,7899
45,"echinoderm_seacucumber_auricularia_larva",96,1035,1794,4470
46,"echinopluteus",27,1557,2873,4304
47,"ephyra",14,1076,3474.5,7424
48,"euphausiids",136,1205,2551.5,6563
49,"euphausiids_young",38,901,1549,3292
50,"fecal_pellet",511,564,1070,5406
51,"fish_larvae_deep_body",10,1755,2418.5,4069
52,"fish_larvae_leptocephali",31,2590,8572,28870
53,"fish_larvae_medium_body",85,1239,2355,8047
54,"fish_larvae_myctophids",114,973,1555.5,7801
55,"fish_larvae_thin_body",64,1031,1614.5,7010
56,"fish_larvae_very_thin_body",16,974,1246.5,6277
57,"heteropod",10,2661,7811.5,26086
58,"hydromedusae_aglaura",127,1423,8171,30538
59,"hydromedusae_bell_and_tentacles",75,1288,6115,30978
60,"hydromedusae_h15",35,922,1731,5766
61,"hydromedusae_haliscera",229,1108,6284,16885
62,"hydromedusae_haliscera_small_sideview",9,1345,1524,2370
63,"hydromedusae_liriope",19,3805,8297,24360
64,"hydromedusae_narco_dark",23,1765,6450,20985
65,"hydromedusae_narco_young",336,586,1834.5,12862
66,"hydromedusae_narcomedusae",132,964,5245.5,29250
67,"hydromedusae_other",12,1435,3891.5,24605
68,"hydromedusae_partial_dark",190,898,2611,17353
69,"hydromedusae_shapeA",412,1320,4738,35101
70,"hydromedusae_shapeA_sideview_small",274,777,1269.5,10430
71,"hydromedusae_shapeB",150,825,1514.5,6786
72,"hydromedusae_sideview_big",76,1718,2904.5,26458
73,"hydromedusae_solmaris",703,1384,10727,32577
74,"hydromedusae_solmundella",123,958,2572,8149
75,"hydromedusae_typeD",43,1548,6395,16058
76,"hydromedusae_typeD_bell_and_tentacles",56,1291,9627,45469
77,"hydromedusae_typeE",14,1333,2138,6635
78,"hydromedusae_typeF",61,942,1505,2637
79,"invertebrate_larvae_other_A",14,912,1345,2284
80,"invertebrate_larvae_other_B",24,766,2050.5,5089
81,"jellies_tentacles",141,891,2583,14874
82,"polychaete",131,875,2596,18474
83,"protist_dark_center",108,701,1256,5972
84,"protist_fuzzy_olive",372,894,1129.5,2869
85,"protist_noctiluca",625,746,1149,2949
86,"protist_other",1172,585,1053,7138
87,"protist_star",113,778,966,1290
88,"pteropod_butterfly",108,777,2839,37598
89,"pteropod_theco_dev_seq",13,1600,3068,9405
90,"pteropod_triangle",65,820,2308,4539
91,"radiolarian_chain",287,634,1859,18283
92,"radiolarian_colony",158,805,4321,22320
93,"shrimp-like_other",52,977,2170.5,9671
94,"shrimp_caridean",49,935,1638,6476
95,"shrimp_sergestidae",153,1847,4421,17080
96,"shrimp_zoea",174,836,1631.5,5096
97,"siphonophore_calycophoran_abylidae",212,891,2602,12585
98,"siphonophore_calycophoran_rocketship_adult",135,2271,6662,23074
99,"siphonophore_calycophoran_rocketship_young",483,837,1782,6166
100,"siphonophore_calycophoran_sphaeronectes",179,996,2993,9346
101,"siphonophore_calycophoran_sphaeronectes_stem",57,1438,3227,12133
102,"siphonophore_calycophoran_sphaeronectes_young",247,763,1954,7117
103,"siphonophore_other_parts",29,1183,2256,8091
104,"siphonophore_partial",30,1855,2976,14520
105,"siphonophore_physonect",128,1997,12578,44556
106,"siphonophore_physonect_young",21,1086,1814,6605
107,"stomatopod",24,1043,2910,9344
108,"tornaria_acorn_worm_larvae",38,992,4831,14067
109,"trichodesmium_bowtie",708,685,1955.5,5623
110,"trichodesmium_multiple",54,1029,1720,5581
111,"trichodesmium_puff",1979,665,1611,6868
112,"trichodesmium_tuft",678,673,1648,9658
113,"trochophore_larvae",29,889,2370,6868
114,"tunicate_doliolid",439,747,1238,30842
115,"tunicate_doliolid_nurse",417,945,2435,33140
116,"tunicate_partial",352,1081,2495.5,10428
117,"tunicate_salp",236,1153,9301.5,45220
118,"tunicate_salp_chains",73,5171,17272,35041
119,"unknown_blobs_and_smudges",317,603,1143,5368
120,"unknown_sticks",175,605,991,7218
121,"unknown_unclassified",425,657,1704,79622
