"filename","species","filesize"
"100224",1,1216
"100723",1,2536
"101165",1,1322
"101232",1,1126
"101260",1,1797
"101358",1,667
"101498",1,1601
"1015",1,1012
"101527",1,1479
"101574",1,1690
"101772",1,2405
"101830",1,1059
"101837",1,1933
"101971",1,1648
"102205",1,3640
"102272",1,1410
"102515",1,1381
"10304",1,3433
"103335",1,1064
"103399",1,1130
"103433",1,1320
"103658",1,1549
"103866",1,781
"103883",1,1591
"103988",1,1801
"104018",1,2205
"104088",1,1198
"104126",1,1653
"104215",1,958
"104293",1,2143
"104441",1,1701
"104494",1,1557
"10462",1,1287
"104709",1,1816
"104757",1,865
"104765",1,1231
"104828",1,1684
"105302",1,2276
"105315",1,1032
"105457",1,1788
"105666",1,1730
"105745",1,2005
"105805",1,2194
"106267",1,1189
"106313",1,1125
"106898",1,1798
"107041",1,829
"10714",1,2537
"107157",1,2325
"107351",1,1171
"107542",1,1141
"107817",1,1392
"107974",1,1578
"108058",1,1542
"108918",1,842
"109053",1,769
"10933",1,762
"109356",1,2334
"109430",1,1820
"109576",1,1595
"109908",1,1446
"110071",1,776
"110096",1,901
"11030",1,697
"110372",1,2040
"110420",1,1643
"110473",1,1004
"110552",1,1374
"110883",1,991
"110967",1,2251
"111039",1,1633
"111142",1,1114
"111392",1,1590
"111477",1,1340
"1115",1,1589
"111537",1,1864
"111542",1,1625
"111619",1,976
"111660",1,2818
"111761",1,1055
"111917",1,669
"111975",1,2655
"112274",1,2267
"112612",1,1943
"112855",1,1593
"112904",1,2518
"112947",1,1316
"113042",1,1172
"113367",1,1480
"113378",1,1848
"113699",1,2449
"113857",1,1360
"114024",1,780
"114216",1,1278
"114229",1,1106
"114512",1,2191
"114578",1,817
"11458",1,1175
"114895",1,1132
"115204",1,1935
"11536",1,1954
"115756",1,1355
"115821",1,1515
"115968",1,1563
"116095",1,1297
"116205",1,2156
"116264",1,1378
"11634",1,1344
"116465",1,1182
"116537",1,756
"116671",1,896
"116703",1,1322
"11678",1,1282
"116812",1,1315
"116973",1,2099
"117084",1,1072
"117095",1,1689
"117270",1,1214
"117351",1,1961
"117450",1,1519
"117781",1,1490
"117925",1,1946
"118108",1,2865
"118270",1,1781
"118402",1,1255
"118417",1,1976
"118599",1,1148
"118669",1,2354
"118814",1,669
"118892",1,1942
"119006",1,1943
"119015",1,1482
"119556",1,1314
"119912",1,1453
"120214",1,1081
"120224",1,873
"120411",1,2106
"120614",1,1528
"120653",1,1607
"121168",1,1726
"12153",1,1380
"121544",1,2091
"121558",1,1442
"121635",1,1083
"121769",1,1526
"121811",1,1789
"121816",1,1402
"121952",1,1358
"122162",1,807
"122333",1,1988
"122445",1,775
"122452",1,1492
"122572",1,1166
"122747",1,2106
"122998",1,1568
"123009",1,848
"123245",1,1426
"123431",1,1934
"123495",1,1775
"12403",1,1925
"124144",1,1045
"124285",1,1486
"124357",1,1273
"124385",1,1031
"124403",1,2624
"124404",1,2279
"124435",1,991
"12469",1,2087
"124835",1,1627
"12493",1,2129
"125061",1,1514
"125099",1,2269
"125118",1,795
"125286",1,1234
"125408",1,2775
"125577",1,3136
"125639",1,1103
"125847",1,1280
"12597",1,917
"126030",1,1756
"126162",1,1374
"12620",1,1768
"126214",1,882
"12626",1,1587
"126872",1,796
"12712",1,1003
"127254",1,1628
"127472",1,1779
"127532",1,1465
"127677",1,1604
"127678",1,981
"127811",1,1552
"128052",1,1512
"128768",1,3570
"128838",1,1507
"129386",1,851
"13003",1,1649
"130531",1,895
"130830",1,721
"130875",1,1600
"130878",1,2157
"130904",1,1319
"131056",1,912
"131279",1,1127
"131295",1,1981
"131800",1,769
"132088",1,1112
"132262",1,1456
"132401",1,1364
"132415",1,788
"132431",1,2039
"132457",1,1423
"132554",1,699
"133215",1,806
"133275",1,2288
"133382",1,1451
"133452",1,1804
"133587",1,2350
"133714",1,1443
"133736",1,1302
"133815",1,988
"133835",1,988
"133887",1,1693
"133988",1,1510
"133996",1,1660
"134161",1,1132
"134243",1,1379
"134559",1,1912
"134690",1,1693
"134858",1,5701
"134984",1,1307
"135180",1,2940
"135436",1,1347
"135482",1,750
"135642",1,1702
"135894",1,764
"136000",1,2059
"136011",1,1240
"136581",1,2241
"136810",1,1157
"136924",1,3868
"136943",1,1697
"136985",1,1632
"137186",1,1136
"137261",1,1937
"13748",1,1791
"137643",1,951
"137742",1,2476
"137954",1,976
"13844",1,1634
"138546",1,1502
"138625",1,1569
"13890",1,1490
"139166",1,1674
"139666",1,1489
"139671",1,2133
"139716",1,1450
"140205",1,720
"140702",1,1336
"140835",1,1287
"140910",1,1429
"140953",1,1208
"140968",1,1280
"141134",1,748
"141187",1,1232
"141268",1,907
"141576",1,2511
"142059",1,1077
"142407",1,2053
"142568",1,917
"14260",1,2385
"142761",1,1438
"142892",1,1405
"142915",1,1754
"143096",1,728
"143433",1,848
"143918",1,1809
"143967",1,795
"144032",1,619
"144288",1,2625
"144504",1,1228
"144657",1,2096
"144786",1,1366
"14486",1,1901
"144922",1,1217
"145088",1,754
"145136",1,1269
"145298",1,2368
"145360",1,1628
"145605",1,813
"145748",1,1512
"145764",1,1398
"145848",1,1217
"146019",1,1976
"146202",1,1003
"146348",1,677
"146460",1,1987
"146461",1,830
"146543",1,1747
"146603",1,817
"146677",1,1510
"146678",1,1495
"146920",1,2044
"147493",1,1590
"147536",1,978
"147553",1,899
"147572",1,2029
"147918",1,1167
"148193",1,2080
"148495",1,2188
"148531",1,1249
"148830",1,1856
"14885",1,2271
"148908",1,2308
"149276",1,1508
"149400",1,1332
"149479",1,1093
"149577",1,1728
"149815",1,1415
"149861",1,1008
"149897",1,1337
"149992",1,879
"150457",1,2523
"150495",1,1289
"150702",1,2370
"150717",1,1833
"150821",1,1126
"150900",1,927
"151041",1,1236
"151074",1,1615
"151167",1,1420
"151694",1,1843
"152026",1,3723
"152132",1,882
"152476",1,7745
"152512",1,2534
"152583",1,2082
"152604",1,1605
"152686",1,1989
"15274",1,1003
"153003",1,1820
"153232",1,1429
"153301",1,1114
"153323",1,1583
"153438",1,2461
"153535",1,944
"153666",1,2851
"153774",1,872
"15379",1,2767
"154018",1,640
"154067",1,3335
"15422",1,975
"154234",1,1134
"154446",1,2537
"15456",1,2094
"154591",1,1688
"154712",1,1767
"15473",1,1801
"155025",1,2103
"155350",1,1570
"155797",1,1553
"155853",1,2329
"156108",1,1391
"156537",1,1540
"156729",1,1756
"157021",1,1642
