"plankton","count","wndchrm","skimage"
"acantharia_protist",889,1,0
"acantharia_protist_big_center",13,2,1
"acantharia_protist_halo",71,3,2
"amphipods",49,4,3
"appendicularian_fritillaridae",16,5,4
"appendicularian_s_shape",696,6,7
"appendicularian_slight_curve",532,7,5
"appendicularian_straight",242,8,6
"artifacts",393,9,8
"artifacts_edge",170,10,9
"chaetognath_non_sagitta",815,11,10
"chaetognath_other",1934,12,11
"chaetognath_sagitta",694,13,12
"chordate_type1",77,14,13
"copepod_calanoid",681,15,14
"copepod_calanoid_eggs",173,16,15
"copepod_calanoid_eucalanus",96,17,16
"copepod_calanoid_flatheads",178,18,17
"copepod_calanoid_frillyAntennae",63,19,18
"copepod_calanoid_large",286,20,19
"copepod_calanoid_large_side_antennatucked",106,21,20
"copepod_calanoid_octomoms",49,22,21
"copepod_calanoid_small_longantennae",87,23,22
"copepod_cyclopoid_copilia",30,24,23
"copepod_cyclopoid_oithona",899,25,24
"copepod_cyclopoid_oithona_eggs",1189,26,25
"copepod_other",24,27,26
"crustacean_other",201,28,27
"ctenophore_cestid",113,29,28
"ctenophore_cydippid_no_tentacles",42,30,29
"ctenophore_cydippid_tentacles",53,31,30
"ctenophore_lobate",38,32,31
"decapods",55,33,32
"detritus_blob",363,34,33
"detritus_filamentous",394,35,34
"detritus_other",914,36,35
"diatom_chain_string",519,37,36
"diatom_chain_tube",500,38,37
"echinoderm_larva_pluteus_brittlestar",36,39,38
"echinoderm_larva_pluteus_early",92,40,39
"echinoderm_larva_pluteus_typeC",80,41,40
"echinoderm_larva_pluteus_urchin",88,42,41
"echinoderm_larva_seastar_bipinnaria",385,43,42
"echinoderm_larva_seastar_brachiolaria",536,44,43
"echinoderm_seacucumber_auricularia_larva",96,45,44
"echinopluteus",27,46,45
"ephyra",14,47,46
"euphausiids",136,48,47
"euphausiids_young",38,49,48
"fecal_pellet",511,50,49
"fish_larvae_deep_body",10,51,50
"fish_larvae_leptocephali",31,52,51
"fish_larvae_medium_body",85,53,52
"fish_larvae_myctophids",114,54,53
"fish_larvae_thin_body",64,55,54
"fish_larvae_very_thin_body",16,56,55
"heteropod",10,57,56
"hydromedusae_aglaura",127,58,57
"hydromedusae_bell_and_tentacles",75,59,58
"hydromedusae_h15",35,60,59
"hydromedusae_haliscera",229,61,60
"hydromedusae_haliscera_small_sideview",9,62,61
"hydromedusae_liriope",19,63,62
"hydromedusae_narco_dark",23,64,64
"hydromedusae_narco_young",336,65,65
"hydromedusae_narcomedusae",132,66,63
"hydromedusae_other",12,67,66
"hydromedusae_partial_dark",190,68,67
"hydromedusae_shapeA",412,69,68
"hydromedusae_shapeA_sideview_small",274,70,69
"hydromedusae_shapeB",150,71,70
"hydromedusae_sideview_big",76,72,71
"hydromedusae_solmaris",703,73,72
"hydromedusae_solmundella",123,74,73
"hydromedusae_typeD",43,75,74
"hydromedusae_typeD_bell_and_tentacles",56,76,75
"hydromedusae_typeE",14,77,76
"hydromedusae_typeF",61,78,77
"invertebrate_larvae_other_A",14,79,78
"invertebrate_larvae_other_B",24,80,79
"jellies_tentacles",141,81,80
"polychaete",131,82,81
"protist_dark_center",108,83,82
"protist_fuzzy_olive",372,84,83
"protist_noctiluca",625,85,84
"protist_other",1172,86,85
"protist_star",113,87,86
"pteropod_butterfly",108,88,87
"pteropod_theco_dev_seq",13,89,88
"pteropod_triangle",65,90,89
"radiolarian_chain",287,91,90
"radiolarian_colony",158,92,91
"shrimp-like_other",52,93,92
"shrimp_caridean",49,94,93
"shrimp_sergestidae",153,95,94
"shrimp_zoea",174,96,95
"siphonophore_calycophoran_abylidae",212,97,96
"siphonophore_calycophoran_rocketship_adult",135,98,97
"siphonophore_calycophoran_rocketship_young",483,99,98
"siphonophore_calycophoran_sphaeronectes",179,100,99
"siphonophore_calycophoran_sphaeronectes_stem",57,101,100
"siphonophore_calycophoran_sphaeronectes_young",247,102,101
"siphonophore_other_parts",29,103,102
"siphonophore_partial",30,104,103
"siphonophore_physonect",128,105,104
"siphonophore_physonect_young",21,106,105
"stomatopod",24,107,106
"tornaria_acorn_worm_larvae",38,108,107
"trichodesmium_bowtie",708,109,108
"trichodesmium_multiple",54,110,109
"trichodesmium_puff",1979,111,110
"trichodesmium_tuft",678,112,111
"trochophore_larvae",29,113,112
"tunicate_doliolid",439,114,113
"tunicate_doliolid_nurse",417,115,114
"tunicate_partial",352,116,115
"tunicate_salp",236,117,116
"tunicate_salp_chains",73,118,117
"unknown_blobs_and_smudges",317,119,118
"unknown_sticks",175,120,119
"unknown_unclassified",425,121,120
